time,deme_count,iteration,total_steps,total_evals,microseconds,new_instances,num_instances,inst_RAM,num_evals,has_improved,best_weighted_score,delta_weighted,best_raw,delta_raw,complexity
0.0,1,1,1,1,175,1,1,6.10352e-05,1,1,-16,3.40282e+38,-16,3.40282e+38,0
0.032,1,2,2,321,31927,320,321,0.0195923,321,0,-16,0,-16,0,0
0.049,1,3,3,441,16684,120,441,0.0269165,441,0,-16,0,-16,0,0
1.092,2,1,4,442,211,1,1,7.62939e-05,1,1,-16.2857,3.40282e+38,-16,3.40282e+38,1
1.158,2,2,5,858,66055,416,417,0.0318146,417,0,-16,0.285715,-16,0,0
1.176,2,3,6,978,18124,120,537,0.0409698,537,0,-16,0,-16,0,0
2.308,3,1,7,979,276,1,1,7.62939e-05,1,1,-16.2857,3.40282e+38,-16,3.40282e+38,1
2.373,3,2,8,1385,64687,406,407,0.0310516,407,1,-12.5714,3.71429,-12,4,2
2.393,3,3,9,1505,20514,120,527,0.0402069,527,0,-12.2857,0.285714,-12,0,1
3.542,4,1,10,1506,320,1,1,7.62939e-05,1,1,-12.2857,3.40282e+38,-12,3.40282e+38,1
3.61,4,2,11,1916,67851,410,411,0.0313568,411,0,-12.2857,0,-12,0,1
3.633,4,3,12,2036,22382,120,531,0.0405121,531,0,-12.2857,0,-12,0,1
4.905,5,1,13,2037,295,1,1,7.62939e-05,1,1,-12.5714,3.40282e+38,-12,3.40282e+38,2
4.995,5,2,14,2463,89253,426,427,0.0325775,427,0,-12.2857,0.285714,-12,0,1
5.016,5,3,15,2583,21481,120,547,0.0417328,547,0,-12.2857,0,-12,0,1
6.236,6,1,16,2584,281,1,1,7.62939e-05,1,1,-12.5714,3.40282e+38,-12,3.40282e+38,2
6.321,6,2,17,3015,84763,431,432,0.032959,432,1,-11.8571,0.714285,-11,1,3
6.344,6,3,18,3135,23337,120,552,0.0421143,552,0,-11.5714,0.285715,-11,0,2
7.484,7,1,19,3136,245,1,1,7.62939e-05,1,1,-11.5714,3.40282e+38,-11,3.40282e+38,2
7.564,7,2,20,3556,80085,420,421,0.0321198,421,1,-10.8571,0.714285,-10,1,3
7.593,7,3,21,3676,29131,120,541,0.041275,541,0,-10.8571,0,-10,0,3
9.666,8,1,22,3677,564,1,1,0.00012207,1,1,-11.1429,3.40282e+38,-10,3.40282e+38,4
9.957,8,2,23,4452,290946,775,776,0.0947266,776,0,-10.8571,0.285714,-10,0,3
9.997,8,3,24,4572,40315,120,896,0.109375,896,0,-10.8571,0,-10,0,3
12.099,9,1,25,4573,436,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
12.318,9,2,26,5299,218635,726,727,0.0831985,727,0,-10.8571,0,-10,0,3
12.354,9,3,27,5419,35643,120,847,0.0969315,847,0,-10.8571,0,-10,0,3
14.386,10,1,28,5420,493,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
14.634,10,2,29,6147,248061,727,728,0.083313,728,0,-10.8571,0,-10,0,3
14.672,10,3,30,6267,37840,120,848,0.0970459,848,0,-10.8571,0,-10,0,3
16.759,11,1,31,6268,469,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
17.005,11,2,32,6995,245794,727,728,0.083313,728,0,-10.8571,0,-10,0,3
17.042,11,3,33,7115,36926,120,848,0.0970459,848,0,-10.8571,0,-10,0,3
19.117,12,1,34,7116,431,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
19.329,12,2,35,7827,211797,711,712,0.0814819,712,1,-10.1429,0.714286,-9,1,4
19.364,12,3,36,7947,35011,120,832,0.0952148,832,0,-10.1429,0,-9,0,4
21.411,13,1,37,7948,586,1,1,0.000114441,1,1,-10.1429,3.40282e+38,-9,3.40282e+38,4
21.688,13,2,38,8704,276158,756,757,0.0866318,757,0,-10.1429,0,-9,0,4
21.739,13,3,39,8824,51275,120,877,0.100365,877,0,-10.1429,0,-9,0,4
24.794,14,1,40,8825,693,1,1,0.000152588,1,1,-10.1429,3.40282e+38,-9,3.40282e+38,4
25.227,14,2,41,9908,432886,1083,1084,0.165405,1084,1,-7.71429,2.42857,-6,3,6
25.281,14,3,42,10028,53695,120,1204,0.183716,1204,0,-7.71429,0,-6,0,6
29.349,15,1,43,10029,848,1,1,0.000213623,1,1,-7.71429,3.40282e+38,-6,3.40282e+38,6
30.369,15,2,44,11568,1019400,1539,1540,0.328979,1540,1,-6,1.71429,-4,2,7
30.461,15,3,45,11688,92249,120,1660,0.354614,1660,0,-6,0,-4,0,7
36.266,16,1,46,11689,1281,1,1,0.000274658,1,1,-6,3.40282e+38,-4,3.40282e+38,7
38.127,16,2,47,13738,1860429,2049,2050,0.563049,2050,0,-5.71429,0.285714,-4,0,6
38.224,16,3,48,13858,97677,120,2170,0.596008,2170,0,-5.71429,0,-4,0,6
43.563,17,1,49,13859,821,1,1,0.000213623,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
44.533,17,2,50,15421,970488,1562,1563,0.333893,1563,0,-5.71429,0,-4,0,6
44.607,17,3,51,15541,73987,120,1683,0.359528,1683,0,-5.71429,0,-4,0,6
49.302,18,1,52,15542,924,1,1,0.000221252,1,1,-6,3.40282e+38,-4,3.40282e+38,7
50.397,18,2,53,17158,1095705,1616,1617,0.357765,1617,0,-5.71429,0.285714,-4,0,6
50.476,18,3,54,17278,78734,120,1737,0.384315,1737,0,-5.71429,0,-4,0,6
56.115,19,1,55,17279,893,1,1,0.000221252,1,1,-6,3.40282e+38,-4,3.40282e+38,7
57.225,19,2,56,18903,1110670,1624,1625,0.359535,1625,0,-5.71429,0.285714,-4,0,6
57.301,19,3,57,19023,75852,120,1745,0.386086,1745,0,-5.71429,0,-4,0,6
61.382,20,1,58,19024,793,1,1,0.000167847,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
62.04,20,2,59,20191,658566,1167,1168,0.196045,1168,0,-5.71429,0,-4,0,6
62.112,20,3,60,20311,71293,120,1288,0.216187,1288,0,-5.71429,0,-4,0,6
66.993,21,1,61,20312,851,1,1,0.000205994,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
67.956,21,2,62,21835,962706,1523,1524,0.313934,1524,0,-5.71429,0,-4,0,6
68.025,21,3,63,21955,69608,120,1644,0.338654,1644,0,-5.71429,0,-4,0,6
72.863,22,1,64,21956,958,1,1,0.000213623,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
73.942,22,2,65,23493,1079627,1537,1538,0.328552,1538,0,-5.71429,0,-4,0,6
74.029,22,3,66,23613,86541,120,1658,0.354187,1658,0,-5.71429,0,-4,0,6
80.023,23,1,67,23614,919,1,1,0.000205994,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
81.084,23,2,68,25127,1060969,1513,1514,0.311874,1514,0,-5.71429,0,-4,0,6
81.164,23,3,69,25247,79978,120,1634,0.336594,1634,0,-5.71429,0,-4,0,6
85.962,24,1,70,25248,828,1,1,0.000175476,1,1,-6,3.40282e+38,-4,3.40282e+38,7
86.724,24,2,71,26485,762053,1237,1238,0.217239,1238,0,-5.71429,0.285714,-4,0,6
86.796,24,3,72,26605,71345,120,1358,0.238297,1358,0,-5.71429,0,-4,0,6
92.396,25,1,73,26606,981,1,1,0.000221252,1,1,-6,3.40282e+38,-4,3.40282e+38,7
93.694,25,2,74,28234,1298574,1628,1629,0.36042,1629,0,-5.71429,0.285714,-4,0,6
93.778,25,3,75,28354,83733,120,1749,0.386971,1749,0,-5.71429,0,-4,0,6
98.618,26,1,76,28355,750,1,1,0.000137329,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
99.105,26,2,77,29314,487445,959,960,0.131836,960,0,-5.71429,0,-4,0,6
99.157,26,3,78,29434,51904,120,1080,0.148315,1080,0,-5.71429,0,-4,0,6
103.356,27,1,79,29435,805,1,1,0.000167847,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
104.075,27,2,80,30613,719103,1178,1179,0.197891,1179,0,-5.71429,0,-4,0,6
104.148,27,3,81,30733,72819,120,1299,0.218033,1299,0,-5.71429,0,-4,0,6
109.762,28,1,82,30734,1062,1,1,0.000213623,1,1,-6,3.40282e+38,-4,3.40282e+38,7
110.983,28,2,83,32305,1221005,1571,1572,0.335815,1572,0,-5.71429,0.285714,-4,0,6
111.067,28,3,84,32425,83751,120,1692,0.36145,1692,0,-5.71429,0,-4,0,6
117.23,29,1,85,32426,1056,1,1,0.000213623,1,1,-6,3.40282e+38,-4,3.40282e+38,7
118.592,29,2,86,33985,1362589,1559,1560,0.333252,1560,0,-5.71429,0.285714,-4,0,6
118.683,29,3,87,34105,90759,120,1680,0.358887,1680,0,-5.71429,0,-4,0,6
126.337,30,1,88,34106,1122,1,1,0.000259399,1,1,-6,3.40282e+38,-4,3.40282e+38,7
128.215,30,2,89,36076,1877981,1970,1971,0.511276,1971,0,-5.71429,0.285714,-4,0,6
128.321,30,3,90,36196,105788,120,2091,0.542404,2091,0,-5.71429,0,-4,0,6
135.76,31,1,91,36197,957,1,1,0.000221252,1,1,-6,3.40282e+38,-4,3.40282e+38,7
136.96,31,2,92,37803,1199685,1606,1607,0.355553,1607,0,-5.71429,0.285714,-4,0,6
137.04,31,3,93,37923,80400,120,1727,0.382103,1727,0,-5.71429,0,-4,0,6
142.114,32,1,94,37924,796,1,1,0.000167847,1,1,-5.71429,3.40282e+38,-4,3.40282e+38,6
142.776,32,2,95,39114,662251,1190,1191,0.199905,1191,1,-5,0.714286,-3,1,7
142.852,32,3,96,39234,75468,120,1311,0.220047,1311,0,-5,0,-3,0,7
148.833,33,1,97,39235,1023,1,1,0.000213623,1,1,-5,3.40282e+38,-3,3.40282e+38,7
150.137,33,2,98,40835,1304425,1600,1601,0.34201,1601,0,-5,0,-3,0,7
150.233,33,3,99,40955,96115,120,1721,0.367645,1721,0,-5,0,-3,0,7
158.711,34,1,100,40956,1175,1,1,0.000267029,1,1,-5,3.40282e+38,-3,3.40282e+38,7
160.709,34,2,101,42954,1997819,1998,1999,0.533791,1999,0,-5,0,-3,0,7
160.832,34,3,102,43074,122380,120,2119,0.565834,2119,0,-5,0,-3,0,7
169.971,35,1,103,43075,1214,1,1,0.000259399,1,1,-5.28571,3.40282e+38,-3,3.40282e+38,8
172.001,35,2,104,45021,2030653,1946,1947,0.505051,1947,0,-5,0.285714,-3,0,7
172.122,35,3,105,45141,121025,120,2067,0.536179,2067,0,-5,0,-3,0,7
181.039,36,1,106,45142,1173,1,1,0.000259399,1,1,-5,3.40282e+38,-3,3.40282e+38,7
182.997,36,2,107,47105,1958122,1963,1964,0.50946,1964,0,-5,0,-3,0,7
183.112,36,3,108,47225,114605,120,2084,0.540588,2084,0,-5,0,-3,0,7
191.95,37,1,109,47226,1172,1,1,0.000228882,1,1,-5.28571,3.40282e+38,-3,3.40282e+38,8
193.479,37,2,110,48926,1529433,1700,1701,0.389328,1701,0,-5,0.285714,-3,0,7
193.585,37,3,111,49046,106323,120,1821,0.416794,1821,0,-5,0,-3,0,7
204.286,38,1,112,49047,1676,1,1,0.000320435,1,1,-5.28571,3.40282e+38,-3,3.40282e+38,8
207.577,38,2,113,51503,3291041,2456,2457,0.787308,2457,0,-5,0.285714,-3,0,7
207.722,38,3,114,51623,144480,120,2577,0.82576,2577,0,-5,0,-3,0,7
216.767,39,1,115,51624,1062,1,1,0.000213623,1,1,-5,3.40282e+38,-3,3.40282e+38,7
218.076,39,2,116,53205,1309136,1581,1582,0.337952,1582,1,-4.28571,0.714286,-2,1,8
218.171,39,3,117,53325,95179,120,1702,0.363586,1702,0,-4.28571,0,-2,0,8
226.132,40,1,118,53326,1067,1,1,0.000213623,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
227.513,40,2,119,54911,1381049,1585,1586,0.338806,1586,0,-4.28571,0,-2,0,8
227.616,40,3,120,55031,103696,120,1706,0.364441,1706,0,-4.28571,0,-2,0,8
235.303,41,1,121,55032,1321,1,1,0.000267029,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
237.701,41,2,122,57070,2398347,2038,2039,0.544472,2039,0,-4.28571,0,-2,0,8
237.829,41,3,123,57190,128063,120,2159,0.576515,2159,0,-4.28571,0,-2,0,8
247.408,42,1,124,57191,1430,1,1,0.000267029,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
250.023,42,2,125,59239,2615333,2048,2049,0.547142,2049,0,-4.28571,0,-2,0,8
250.172,42,3,126,59359,148544,120,2169,0.579185,2169,0,-4.28571,0,-2,0,8
262.041,43,1,127,59360,1837,1,1,0.000320435,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
266.105,43,2,128,61840,4064092,2480,2481,0.794998,2481,0,-4.28571,0.285715,-2,0,8
266.288,43,3,129,61960,183614,120,2601,0.83345,2601,0,-4.28571,0,-2,0,8
276.584,44,1,130,61961,1197,1,1,0.000228882,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
278.321,44,2,131,63681,1736790,1720,1721,0.393906,1721,0,-4.28571,0.285715,-2,0,8
278.433,44,3,132,63801,111654,120,1841,0.421371,1841,0,-4.28571,0,-2,0,8
286.34,45,1,133,63802,1156,1,1,0.000221252,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
287.96,45,2,134,65450,1620113,1648,1649,0.364845,1649,0,-4.28571,0,-2,0,8
288.108,45,3,135,65570,147851,120,1769,0.391396,1769,0,-4.28571,0,-2,0,8
299.786,46,1,136,65571,1593,1,1,0.000335693,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
303.901,46,2,137,68156,4114805,2585,2586,0.868103,2586,0,-4.28571,0.285715,-2,0,8
304.06,46,3,138,68276,159315,120,2706,0.908386,2706,0,-4.28571,0,-2,0,8
315.503,47,1,139,68277,1416,1,1,0.000267029,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
318.084,47,2,140,70288,2580280,2011,2012,0.537262,2012,0,-4.28571,0,-2,0,8
318.208,47,3,141,70408,123870,120,2132,0.569305,2132,0,-4.28571,0,-2,0,8
329.94,48,1,142,70409,1509,1,1,0.000282288,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
332.641,48,2,143,72560,2701922,2151,2152,0.607483,2152,0,-4.28571,0.285715,-2,0,8
332.779,48,3,144,72680,137430,120,2272,0.641357,2272,0,-4.28571,0,-2,0,8
343.653,49,1,145,72681,1436,1,1,0.000267029,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
346.332,49,2,146,74710,2679321,2029,2030,0.542068,2030,0,-4.28571,0,-2,0,8
346.467,49,3,147,74830,134560,120,2150,0.574112,2150,0,-4.28571,0,-2,0,8
360.266,50,1,148,74831,1781,1,1,0.000335693,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
364.827,50,2,149,77413,4561522,2582,2583,0.867096,2583,0,-4.28571,0.285715,-2,0,8
365.004,50,3,150,77533,176871,120,2703,0.907379,2703,0,-4.28571,0,-2,0,8
376.915,51,1,151,77534,1296,1,1,0.000221252,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
378.643,51,2,152,79153,1728340,1619,1620,0.358429,1620,0,-4.28571,0,-2,0,8
378.76,51,3,153,79273,117007,120,1740,0.384979,1740,0,-4.28571,0,-2,0,8
388.664,52,1,154,79274,1262,1,1,0.000267029,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
390.939,52,2,155,81302,2275072,2028,2029,0.541801,2029,0,-4.28571,0,-2,0,8
391.067,52,3,156,81422,128429,120,2149,0.573845,2149,0,-4.28571,0,-2,0,8
401.13,53,1,157,81423,1429,1,1,0.000221252,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
402.876,53,2,158,83055,1746492,1632,1633,0.361305,1633,0,-4.28571,0,-2,0,8
402.998,53,3,159,83175,121615,120,1753,0.387856,1753,0,-4.28571,0,-2,0,8
413.689,54,1,160,83176,1533,1,1,0.000267029,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
416.181,54,2,161,85174,2491783,1998,1999,0.533791,1999,0,-4.28571,0,-2,0,8
416.307,54,3,162,85294,126091,120,2119,0.565834,2119,0,-4.28571,0,-2,0,8
428.915,55,1,163,85295,1498,1,1,0.000320435,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
432.436,55,2,164,87741,3520888,2446,2447,0.784103,2447,0,-4.28571,0.285715,-2,0,8
432.597,55,3,165,87861,161394,120,2567,0.822556,2567,0,-4.28571,0,-2,0,8
447.017,56,1,166,87862,1525,1,1,0.000328064,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
450.851,56,2,167,90385,3833861,2523,2524,0.828033,2524,0,-4.28571,0.285715,-2,0,8
451.034,56,3,168,90505,182879,120,2644,0.867401,2644,0,-4.28571,0,-2,0,8
465.669,57,1,169,90506,1501,1,1,0.000282288,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
468.678,57,2,170,92651,3009633,2145,2146,0.605789,2146,0,-4.28571,0.285715,-2,0,8
468.824,57,3,171,92771,145791,120,2266,0.639664,2266,0,-4.28571,0,-2,0,8
481.038,58,1,172,92772,1428,1,1,0.000267029,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
483.519,58,2,173,94785,2481420,2013,2014,0.537796,2014,0,-4.28571,0,-2,0,8
483.652,58,3,174,94905,132774,120,2134,0.569839,2134,0,-4.28571,0,-2,0,8
495.998,59,1,175,94906,1486,1,1,0.000274658,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
498.659,59,2,176,96960,2661580,2054,2055,0.564423,2055,0,-4.28571,0,-2,0,8
498.807,59,3,177,97080,147882,120,2175,0.597382,2175,0,-4.28571,0,-2,0,8
510.541,60,1,178,97081,903,1,1,0.000175476,1,1,-4.28571,3.40282e+38,-2,3.40282e+38,8
511.363,60,2,179,98347,822452,1266,1267,0.222328,1267,0,-4.28571,0,-2,0,8
511.462,60,3,180,98467,98755,120,1387,0.243385,1387,0,-4.28571,0,-2,0,8
523.606,61,1,181,98468,1713,1,1,0.000335693,1,1,-4.57143,3.40282e+38,-2,3.40282e+38,9
526.094,61,2,182,100000,2488313,1532,1533,0.514618,1533,0,-4.14286,0.428571,-1,1,11
