time,deme_count,iteration,total_steps,total_evals,microseconds,new_instances,num_instances,inst_RAM,num_evals,has_improved,best_weighted_score,delta_weighted,best_raw,delta_raw,complexity
0.0,1,1,1,1,176,1,1,6.10352e-05,1,1,-16,3.40282e+38,-16,3.40282e+38,0
0.033,1,2,2,321,32623,320,321,0.0195923,321,0,-16,0,-16,0,0
0.05,1,3,3,441,17049,120,441,0.0269165,441,0,-16,0,-16,0,0
1.102,2,1,4,442,223,1,1,7.62939e-05,1,1,-16.2857,3.40282e+38,-16,3.40282e+38,1
1.169,2,2,5,858,66992,416,417,0.0318146,417,0,-16,0.285715,-16,0,0
1.187,2,3,6,978,18510,120,537,0.0409698,537,0,-16,0,-16,0,0
2.306,3,1,7,979,221,1,1,7.62939e-05,1,1,-16.2857,3.40282e+38,-16,3.40282e+38,1
2.372,3,2,8,1385,65379,406,407,0.0310516,407,1,-12.5714,3.71429,-12,4,2
3.528,4,1,9,1386,345,1,1,7.62939e-05,1,1,-12.5714,3.40282e+38,-12,3.40282e+38,2
3.611,4,2,10,1812,82609,426,427,0.0325775,427,0,-12.2857,0.285714,-12,0,1
3.635,4,3,11,1932,23522,120,547,0.0417328,547,0,-12.2857,0,-12,0,1
4.805,5,1,12,1933,277,1,1,7.62939e-05,1,1,-12.2857,3.40282e+38,-12,3.40282e+38,1
4.902,5,2,13,2333,97204,400,401,0.0305939,401,0,-12.2857,0,-12,0,1
4.927,5,3,14,2453,24812,120,521,0.0397491,521,0,-12.2857,0,-12,0,1
6.184,6,1,15,2454,278,1,1,7.62939e-05,1,1,-12.5714,3.40282e+38,-12,3.40282e+38,2
6.273,6,2,16,2886,89487,432,433,0.0330353,433,1,-11.8571,0.714285,-11,1,3
8.086,7,1,17,2887,420,1,1,0.000114441,1,1,-11.8571,3.40282e+38,-11,3.40282e+38,3
8.307,7,2,18,3611,220806,724,725,0.0829697,725,1,-11.1429,0.714286,-10,1,4
10.437,8,1,19,3612,527,1,1,0.000114441,1,1,-11.1429,3.40282e+38,-10,3.40282e+38,4
10.73,8,2,20,4374,292291,762,763,0.0873184,763,0,-10.8571,0.285714,-10,0,3
10.777,8,3,21,4494,46867,120,883,0.101051,883,0,-10.8571,0,-10,0,3
12.85,9,1,22,4495,537,1,1,0.00012207,1,1,-11.1429,3.40282e+38,-10,3.40282e+38,4
13.154,9,2,23,5269,303457,774,775,0.0946045,775,0,-10.8571,0.285714,-10,0,3
13.199,9,3,24,5389,44749,120,895,0.109253,895,0,-10.8571,0,-10,0,3
15.186,10,1,25,5390,401,1,1,0.000114441,1,1,-10.8571,3.40282e+38,-10,3.40282e+38,3
15.402,10,2,26,6129,215880,739,740,0.0846863,740,0,-10.8571,0,-10,0,3
15.444,10,3,27,6249,41971,120,860,0.0984192,860,0,-10.8571,0,-10,0,3
18.426,11,1,28,6250,678,1,1,0.000152588,1,1,-11.1429,3.40282e+38,-10,3.40282e+38,4
18.926,11,2,29,7337,500176,1087,1088,0.166016,1088,0,-10.7143,0.428572,-9,1,6
18.983,11,3,30,7457,57078,120,1208,0.184326,1208,1,-10,0.714286,-8,1,7
